FD1, 2.00, 8.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, 214.00, 8.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 2.00, 189.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD4, 214.00, 189.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$1, 10.28, 98.50, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$110, 95.00, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$111, 81.75, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$112, 73.25, 108.75, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$113, 65.25, 118.25, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$114, 57.25, 127.75, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$115, 69.50, 125.50, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$116, 48.00, 98.50, 90.00, 0603-1U-CAP, 0603
U$117, 81.75, 123.50, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$118, 69.50, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$119, 57.25, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$120, 44.75, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$121, 34.50, 109.75, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$122, 23.75, 121.25, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$123, 34.50, 87.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$124, 23.75, 75.75, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$126, 31.00, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$127, 17.25, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$164, 119.45, 78.61, 330.00, 0603-1U-CAP, 0603
U$167, 114.45, 87.27, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$168, 121.07, 75.80, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$169, 116.45, 63.31, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$17, 85.00, 98.50, 90.00, 0603-1U-CAP, 0603
U$170, 112.22, 51.63, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$171, 107.99, 39.95, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$172, 103.81, 51.69, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$173, 137.95, 46.57, 330.00, 0603-1U-CAP, 0603
U$174, 99.42, 63.30, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$175, 127.20, 65.19, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$176, 133.32, 54.58, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$177, 139.57, 43.75, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$178, 134.95, 29.25, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$179, 130.37, 14.19, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
