C2A1, 23.63, 97.40, 90.00, 22u, 0603
C4, 22.10, 97.40, 90.00, 22u, 0603
C5, 20.07, 101.21, 0.00, 22u, 0603
C6, 14.99, 100.45, 90.00, 22pf, 0603
FD5, 214.00, 189.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD6, 214.00, 8.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD7, 2.00, 189.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD8, 2.00, 8.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
R3, 18.29, 101.72, 270.00, 100K, 0603
R7, 16.52, 100.45, 270.00, 51K, 0603
R8, 16.52, 98.16, 90.00, 6.98K, 0603
U$1, 10.28, 98.50, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$10, 69.50, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$11, 57.25, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$12, 44.75, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$125, 72.75, 98.50, 90.00, 0603-1U-CAP, 0603
U$13, 34.50, 109.75, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$14, 23.75, 121.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$149, 114.45, 87.27, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$15, 34.50, 87.25, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$150, 121.07, 75.80, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$151, 116.45, 63.31, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$152, 112.22, 51.63, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$153, 107.99, 39.95, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$154, 103.81, 51.69, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$155, 144.82, 34.66, 210.00, 0603-1U-CAP, 0603
U$156, 99.42, 63.30, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$157, 127.20, 65.19, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$158, 133.32, 54.58, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$159, 139.57, 43.75, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$16, 23.75, 75.75, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$160, 134.95, 29.25, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
