FD5, 361.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD6, 6.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD7, 6.00, 165.26, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD8, 361.00, 165.26, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$128, 263.63, 111.58, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$129, 259.79, 118.24, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$130, 255.94, 124.90, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$131, 259.78, 141.28, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$132, 262.97, 153.57, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$133, 239.84, 129.90, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$134, 250.07, 135.06, 150.00, 0603-1U-CAP, 0603
U$135, 227.61, 133.13, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$136, 252.10, 131.56, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$137, 248.26, 138.23, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$138, 244.40, 144.89, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$139, 240.56, 151.55, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$140, 245.11, 165.19, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$141, 226.37, 154.86, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$142, 236.71, 158.20, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$143, 235.69, 160.06, 150.00, 0603-1U-CAP, 0603
U$144, 232.90, 164.96, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$145, 275.36, 118.35, 225.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$200, 287.07, 111.59, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$201, 290.91, 118.25, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$202, 294.76, 124.91, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$203, 310.86, 129.78, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$204, 323.10, 133.15, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$205, 291.04, 141.36, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$206, 300.62, 135.07, 210.00, 0603-1U-CAP, 0603
U$207, 287.72, 153.56, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$208, 298.60, 131.57, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$209, 302.46, 138.23, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$210, 306.30, 144.90, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$211, 310.15, 151.55, 165.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$212, 324.23, 154.43, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$213, 305.92, 165.50, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
