C1, 234.61, 18.59, 150.00, 22u, 0603
C2, 230.29, 18.74, 60.00, 22u, 0603
C2A2, 235.37, 19.91, 150.00, 22u, 0603
C2A3, 133.07, 20.97, 210.00, 22u, 0603
C3, 228.41, 13.96, 150.00, 22pf, 0603
C7, 133.83, 19.65, 210.00, 22u, 0603
C8, 131.54, 15.99, 120.00, 22u, 0603
C9, 134.74, 11.97, 210.00, 22pf, 0603
FD1, 6.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, 6.00, 165.26, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 361.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD4, 361.00, 165.26, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
R1, 228.97, 17.45, 330.00, 100K, 0603
R2, 229.18, 15.28, 330.00, 51K, 0603
R4, 231.16, 14.13, 150.00, 6.98K, 0603
R7, 131.99, 14.19, 30.00, 100K, 0603
R8, 133.98, 13.29, 30.00, 51K, 0603
R9, 135.96, 14.43, 210.00, 6.98K, 0603
U$110, 263.63, 111.58, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$111, 259.79, 118.24, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$112, 255.94, 124.90, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$113, 259.77, 141.28, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$114, 262.97, 153.57, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$115, 239.84, 129.91, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$116, 258.06, 121.10, 30.00, 0603-1U-CAP, 0603
U$117, 227.61, 133.12, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$118, 252.09, 131.56, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$119, 248.25, 138.22, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$120, 244.40, 144.89, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$121, 240.56, 151.55, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$122, 245.11, 165.19, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$123, 226.36, 154.87, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$124, 236.71, 158.20, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$125, 242.55, 148.14, 30.00, 0603-1U-CAP, 0603
