FD1, -56.40, -70.18, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, -56.40, 63.19, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 299.84, -70.18, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD4, 299.84, 63.19, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$1011, 243.34, 7.89, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1012, 243.34, 15.77, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1013, 243.34, 23.62, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1014, 249.74, 29.13, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1015, 255.55, 35.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1016, 236.91, 29.13, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1017, 243.34, 11.70, 180.00, 0603-1U-CAP, 0603
U$1018, 231.09, 35.02, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1019, 243.34, 31.49, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1020, 243.34, 39.36, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1021, 243.34, 47.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1022, 249.74, 52.14, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1023, 255.55, 58.03, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1024, 236.91, 52.14, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1025, 231.09, 58.03, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1026, 243.34, 35.30, 180.00, 0603-1U-CAP, 0603
U$1027, 243.34, 55.09, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1028, 243.34, 62.96, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
