C1, 1.10, -59.16, 180.00, 22u, 0603
C13, 244.44, -59.16, 180.00, 22u, 0603
C14, 240.63, -61.19, 90.00, 22u, 0603
C15, 241.39, -66.27, 180.00, 22pf, 0603
C2, -2.71, -61.19, 90.00, 22u, 0603
C2A2, 1.10, -57.63, 180.00, 22u, 0603
C2A3, 122.77, -57.63, 180.00, 22u, 0603
C2A5, 244.44, -57.63, 180.00, 22u, 0603
C3, -1.95, -66.27, 180.00, 22pf, 0603
C7, 122.77, -59.16, 180.00, 22u, 0603
C8, 118.96, -61.19, 90.00, 22u, 0603
C9, 119.72, -66.27, 180.00, 22pf, 0603
FD5, 299.84, 63.19, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD6, 299.84, -70.18, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD7, -56.40, 63.19, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD8, -56.40, -70.18, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
R1, -3.22, -62.97, 0.00, 100K, 0603
R13, 240.12, -62.97, 0.00, 100K, 0603
R14, 241.39, -64.74, 0.00, 51K, 0603
R15, 243.67, -64.74, 180.00, 6.98K, 0603
R2, -1.95, -64.74, 0.00, 51K, 0603
R4, 0.34, -64.74, 180.00, 6.98K, 0603
R7, 118.45, -62.97, 0.00, 100K, 0603
R8, 119.72, -64.74, 0.00, 51K, 0603
R9, 122.01, -64.74, 180.00, 6.98K, 0603
U$10, 0.00, -31.49, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$100, -20.45, 11.81, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1000, 231.09, 35.02, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1001, 243.34, 31.49, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1002, 243.34, 39.36, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1003, 243.34, 47.21, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1004, 249.74, 52.14, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1005, 255.55, 58.03, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1006, 236.91, 52.14, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1007, 231.09, 58.03, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1008, 243.34, 52.27, 0.00, 0603-1U-CAP, 0603
U$1009, 243.34, 55.09, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$101, -22.03, 20.11, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1010, 243.34, 62.96, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$102, -24.20, 28.08, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1029, 250.17, 3.95, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$103, -28.44, 9.00, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1030, 256.99, 7.88, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1031, 263.79, 11.81, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1032, 271.76, 9.02, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1033, 279.75, 6.92, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1034, 265.35, 20.13, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1035, 267.97, 14.22, 300.00, 0603-1U-CAP, 0603
U$1036, 267.54, 28.11, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1037, 270.61, 15.75, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1038, 277.43, 19.68, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1039, 284.22, 23.61, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$104, -24.63, 14.22, 60.00, 0603-1U-CAP, 0603
U$1040, 291.69, 20.53, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1041, 299.70, 18.44, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1042, 285.28, 31.64, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1043, 287.47, 39.62, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1044, 288.61, 26.14, 300.00, 0603-1U-CAP, 0603
U$1045, 291.04, 27.54, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1046, 297.86, 31.48, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$105, -36.45, 6.91, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$106, -27.27, 15.75, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1065, 250.17, -3.95, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
