FD1, 4.45, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, 4.45, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 360.68, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD4, 360.68, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$1, 60.84, 10.28, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1001, 304.18, 89.14, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1002, 304.18, 97.01, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1003, 304.18, 104.86, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1004, 310.58, 110.37, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1005, 316.40, 116.24, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1006, 297.75, 110.37, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1007, 304.18, 92.95, 180.00, 0603-1U-CAP, 0603
U$1008, 291.94, 116.27, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1009, 304.18, 112.74, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1010, 304.18, 120.61, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1011, 304.18, 128.46, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1012, 310.58, 133.39, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1013, 316.40, 139.28, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1014, 297.75, 133.39, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1015, 291.94, 139.28, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1016, 304.18, 116.54, 180.00, 0603-1U-CAP, 0603
U$1017, 304.18, 136.33, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1018, 304.18, 144.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1037, 311.01, 85.19, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1038, 317.83, 89.13, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1039, 324.63, 93.05, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1040, 332.60, 90.27, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1041, 340.59, 88.16, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1042, 326.19, 101.37, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1043, 314.31, 87.10, 240.00, 0603-1U-CAP, 0603
U$1044, 328.39, 109.36, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1045, 331.45, 96.99, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1046, 338.27, 100.93, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1047, 345.07, 104.85, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1048, 352.53, 101.77, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1049, 360.55, 99.68, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1050, 346.12, 112.88, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1051, 348.32, 120.86, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1052, 334.75, 98.89, 240.00, 0603-1U-CAP, 0603
U$1053, 351.88, 108.79, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1054, 358.70, 112.73, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1073, 311.01, 77.30, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1074, 317.83, 73.36, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1075, 324.63, 69.44, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1076, 326.20, 61.14, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1077, 328.38, 53.17, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1078, 332.62, 72.25, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1079, 314.31, 75.39, 300.00, 0603-1U-CAP, 0603
U$1080, 340.63, 74.34, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1081, 331.45, 65.50, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1082, 338.27, 61.56, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1083, 345.07, 57.64, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1084, 346.13, 49.63, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1085, 348.33, 41.65, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1086, 352.55, 60.74, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1087, 360.56, 62.83, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1088, 334.75, 63.60, 300.00, 0603-1U-CAP, 0603
U$1089, 351.88, 53.70, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1090, 358.70, 49.76, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$110, 60.84, 73.35, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$111, 60.84, 65.48, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$112, 60.84, 57.63, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$113, 54.44, 52.12, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$114, 48.63, 46.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$115, 67.27, 52.12, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$116, 60.84, 69.54, 0.00, 0603-1U-CAP, 0603
U$117, 73.09, 46.22, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$118, 60.84, 49.75, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$119, 60.84, 41.88, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
