FD5, 360.68, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD6, 360.68, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD7, 4.45, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD8, 4.45, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$1, 60.84, 10.28, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$10, 60.84, 49.75, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$100, 40.39, 93.05, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1000, 304.18, 144.21, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$101, 38.82, 101.35, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1019, 311.01, 85.19, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$102, 36.64, 109.32, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1020, 317.83, 89.13, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1021, 324.63, 93.05, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1022, 332.60, 90.27, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1023, 340.59, 88.16, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1024, 326.19, 101.37, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1025, 328.81, 95.47, 300.00, 0603-1U-CAP, 0603
U$1026, 328.39, 109.36, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1027, 331.45, 96.99, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1028, 338.27, 100.93, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1029, 345.07, 104.85, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$103, 32.40, 90.24, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1030, 352.53, 101.77, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1031, 360.55, 99.68, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1032, 346.12, 112.88, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1033, 348.32, 120.86, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1034, 349.45, 107.38, 300.00, 0603-1U-CAP, 0603
U$1035, 351.88, 108.79, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1036, 358.70, 112.73, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$104, 36.21, 95.47, 60.00, 0603-1U-CAP, 0603
U$105, 24.39, 88.15, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1055, 311.01, 77.30, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1056, 317.83, 73.36, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1057, 324.63, 69.44, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1058, 326.20, 61.14, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1059, 328.38, 53.17, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$106, 33.57, 96.99, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1060, 332.62, 72.25, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1061, 328.81, 67.02, 240.00, 0603-1U-CAP, 0603
U$1062, 340.63, 74.34, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1063, 331.45, 65.50, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1064, 338.27, 61.56, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1065, 345.07, 57.64, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1066, 346.13, 49.63, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1067, 348.33, 41.65, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1068, 352.55, 60.74, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
