U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1000, 285.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1004, 276.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1009, 267.70, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1013, 258.90, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1018, 250.10, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1022, 241.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1027, 232.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$103, 179.70, 13.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1031, 223.70, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1036, 214.90, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1040, 206.10, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1045, 197.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1049, 188.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1054, 179.70, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1058, 170.90, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1063, 162.10, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1067, 153.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$107, 170.90, 13.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1072, 144.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1076, 135.70, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1081, 126.90, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1085, 118.10, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1090, 109.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1094, 100.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1099, 91.70, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1103, 82.90, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1108, 74.10, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1112, 65.30, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1117, 56.50, 40.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
