U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$100, 188.51, 9.90, 180.00, 3512-LED, 3512-LED
U$1001, 285.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1002, 285.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1003, 276.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1005, 276.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1006, 276.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1007, 267.70, 38.40, 180.00, 0603-1U-CAP, 0603
U$1008, 267.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$101, 179.70, 11.40, 180.00, 0603-1U-CAP, 0603
U$1010, 267.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1011, 267.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1012, 258.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1014, 258.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1015, 258.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1016, 250.10, 38.40, 180.00, 0603-1U-CAP, 0603
U$1017, 250.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1019, 250.09, 43.10, 0.00, 3512-LED, 3512-LED
U$102, 179.70, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1020, 250.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1021, 241.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1023, 241.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1024, 241.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1025, 232.50, 38.40, 180.00, 0603-1U-CAP, 0603
U$1026, 232.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1028, 232.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1029, 232.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1030, 223.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1032, 223.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1033, 223.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1034, 214.90, 38.40, 180.00, 0603-1U-CAP, 0603
U$1035, 214.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1037, 214.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1038, 214.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1039, 206.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$104, 179.69, 16.10, 0.00, 3512-LED, 3512-LED
U$1041, 206.09, 43.10, 0.00, 3512-LED, 3512-LED
U$1042, 206.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1043, 197.30, 38.40, 180.00, 0603-1U-CAP, 0603
U$1044, 197.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1046, 197.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1047, 197.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1048, 188.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$105, 179.71, 9.90, 180.00, 3512-LED, 3512-LED
U$1050, 188.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1051, 188.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1052, 179.70, 38.40, 180.00, 0603-1U-CAP, 0603
U$1053, 179.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1055, 179.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1056, 179.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1057, 170.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1059, 170.89, 43.10, 0.00, 3512-LED, 3512-LED
U$106, 170.90, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1060, 170.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1061, 162.10, 38.40, 180.00, 0603-1U-CAP, 0603
U$1062, 162.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1064, 162.09, 43.10, 0.00, 3512-LED, 3512-LED
U$1065, 162.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1066, 153.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1068, 153.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1069, 153.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1070, 144.50, 38.40, 180.00, 0603-1U-CAP, 0603
U$1071, 144.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1073, 144.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1074, 144.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1075, 135.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1077, 135.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1078, 135.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1079, 126.90, 38.40, 180.00, 0603-1U-CAP, 0603
U$108, 170.89, 16.10, 0.00, 3512-LED, 3512-LED
U$1080, 126.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1082, 126.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1083, 126.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1084, 118.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1086, 118.09, 43.10, 0.00, 3512-LED, 3512-LED
U$1087, 118.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1088, 109.30, 38.40, 180.00, 0603-1U-CAP, 0603
U$1089, 109.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$109, 170.91, 9.90, 180.00, 3512-LED, 3512-LED
U$1091, 109.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1092, 109.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1093, 100.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1095, 100.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1096, 100.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1097, 91.70, 38.40, 180.00, 0603-1U-CAP, 0603
U$1098, 91.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$110, 162.10, 11.40, 180.00, 0603-1U-CAP, 0603
U$1100, 91.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1101, 91.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1102, 82.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1104, 82.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1105, 82.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1106, 74.10, 38.40, 180.00, 0603-1U-CAP, 0603
